configuration,strides,dilations,input_batch,input_width,input_height,input_channel,kernel_width,kernel_height,kernel_input_channels,kernel_output_channels,output_batch,output_width,output_height,output_channel,tiled_output_batch,tiled_output_width,tiled_output_height,tiled_output_channel,tiled_kernel_width,tiled_kernel_height,tiled_input_channel,actual_input_batch,actual_input_width,actual_input_height,actual_input_channel,actual_kernel_width,actual_kernel_height,actual_kernel_input_channels,actual_kernel_output_channels,actual_output_batch,actual_output_width,actual_output_height,actual_output_channel,number_of_tiles,simulation_cycles,total_power,area,runtime_in_s,gflops,gflops_per_watt,energy_consumed,flop_count
alexnet_tile_conv2d_1_132321331,4,1,1,227,227,3,11,11,3,96,1,55,55,96,1,32,32,1,3,3,1,1,227,227,1,11,11,1,1,1,55,55,1,288.0,722719008.0,0.00831,73423.0,7.22719,0.029172,3.510469,0.0600579489,210830400
alexnet_tile_conv2d_1_132321551,4,1,1,227,227,3,11,11,3,96,1,55,55,96,1,32,32,1,5,5,1,1,227,227,1,11,11,1,1,1,55,55,1,288.0,732711456.0,0.00867,77233.0,7.327115,0.028774,3.3188,0.06352608705,210830400
alexnet_tile_conv2d_1_132321771,4,1,1,227,227,3,11,11,3,96,1,55,55,96,1,32,32,1,7,7,1,1,227,227,1,11,11,1,1,1,55,55,1,288.0,502396704.0,0.00918,85580.0,5.023967,0.041965,4.571351,0.04612001706,210830400
alexnet_tile_conv2d_1_132321991,4,1,1,227,227,3,11,11,3,96,1,55,55,96,1,32,32,1,9,9,1,1,227,227,1,11,11,1,1,1,55,55,1,288.0,511979904.0,0.00933,84682.0,5.119799,0.041179,4.413612,0.04776772467,210830400
alexnet_tile_conv2d_1_13232111111,4,1,1,227,227,3,11,11,3,96,1,55,55,96,1,32,32,1,11,11,1,1,227,227,1,11,11,1,1,1,55,55,1,288.0,491749920.0,0.00823,75657.0,4.917499,0.042874,5.209478,0.04047101677,210830400
alexnet_tile_conv2d_1_155551331,4,1,1,227,227,3,11,11,3,96,1,55,55,96,1,55,55,1,3,3,1,1,227,227,1,11,11,1,1,1,55,55,1,288.0,721940832.0,0.00746,61506.0,7.219408,0.029203,3.914611,0.05385678368,210830400
alexnet_tile_conv2d_1_155551551,4,1,1,227,227,3,11,11,3,96,1,55,55,96,1,55,55,1,5,5,1,1,227,227,1,11,11,1,1,1,55,55,1,288.0,732279456.0,0.00849,77001.0,7.322795,0.028791,3.391166,0.06217052955,210830400
alexnet_tile_conv2d_1_155551771,4,1,1,227,227,3,11,11,3,96,1,55,55,96,1,55,55,1,7,7,1,1,227,227,1,11,11,1,1,1,55,55,1,288.0,502203168.0,0.00944,85567.0,5.022032,0.041981,4.44714,0.04740798208,210830400
alexnet_tile_conv2d_1_155551991,4,1,1,227,227,3,11,11,3,96,1,55,55,96,1,55,55,1,9,9,1,1,227,227,1,11,11,1,1,1,55,55,1,288.0,511786368.0,0.00926,84650.0,5.117864,0.041195,4.448704,0.04739142064,210830400
alexnet_tile_conv2d_2_0000000,1,1,1,31,31,96,5,5,96,256,1,27,27,256,0,0,0,0,0,0,0,1,31,31,32,5,5,32,1,1,27,27,1,768.0,2347427328.0,0.0139,123380.0,23.474273,0.038161,2.745396,0.3262923947,895795200
alexnet_tile_conv2d_2_1441334,1,1,1,31,31,96,5,5,96,256,1,27,27,256,1,4,4,1,3,3,4,1,31,31,32,5,5,32,1,1,27,27,1,768.0,2064730368.0,0.0157,141155.0,20.647304,0.043386,2.763439,0.3241626728,895795200
alexnet_tile_conv2d_2_1441338,1,1,1,31,31,96,5,5,96,256,1,27,27,256,1,4,4,1,3,3,8,1,31,31,32,5,5,32,1,1,27,27,1,768.0,1978410240.0,0.0148,132812.0,19.784102,0.045279,3.059392,0.2928047096,895795200
alexnet_tile_conv2d_2_14413316,1,1,1,31,31,96,5,5,96,256,1,27,27,256,1,4,4,1,3,3,16,1,31,31,32,5,5,32,1,1,27,27,1,768.0,1935174912.0,0.0162,143734.0,19.351749,0.04629,2.857407,0.3134983338,895795200
alexnet_tile_conv2d_2_14413332,1,1,1,31,31,96,5,5,96,256,1,27,27,256,1,4,4,1,3,3,32,1,31,31,32,5,5,32,1,1,27,27,1,768.0,2361078528.0,0.0154,136468.0,23.610785,0.03794,2.463636,0.363606089,895795200
alexnet_tile_conv2d_2_1881334,1,1,1,31,31,96,5,5,96,256,1,27,27,256,1,8,8,1,3,3,4,1,31,31,32,5,5,32,1,1,27,27,1,768.0,2059048704.0,0.0156,142327.0,20.590487,0.043505,2.788782,0.3212115972,895795200
alexnet_tile_conv2d_2_1881338,1,1,1,31,31,96,5,5,96,256,1,27,27,256,1,8,8,1,3,3,8,1,31,31,32,5,5,32,1,1,27,27,1,768.0,1975428864.0,0.015,132551.0,19.754289,0.045347,3.023133,0.296314335,895795200
