configuration,input_batch,input_width,input_height,weight_batch,weight_width,weight_height,output_batch,output_width,output_height,tiled_output_batch,tiled_output_width,tiled_output_height,tiled_kernel_width,actual_input_batch,actual_input_width,actual_input_height,actual_weight_batch,actual_weight_width,actual_weight_height,actual_output_batch,actual_output_width,actual_output_height,number_of_tiles,simulation_cycles,total_power,area,runtime_in_s,gflops,gflops_per_watt,energy_consumed,flop_count
vgg16_tile_matmul_1_118128,1,1,25088,1,25088,4096,1,1,4096,1,1,8,128,1,1,128,1,128,128,1,1,128,6272.0,967644160.0,0.00695,60798.0,9.676442,0.021239,3.055971,0.0672512719,205520896
vgg16_tile_matmul_1_11164,1,1,25088,1,25088,4096,1,1,4096,1,1,16,4,1,1,128,1,128,128,1,1,128,6272.0,847121408.0,0.00544,46347.0,8.471214,0.024261,4.459743,0.04608340416,205520896
vgg16_tile_matmul_1_11168,1,1,25088,1,25088,4096,1,1,4096,1,1,16,8,1,1,128,1,128,128,1,1,128,6272.0,806980608.0,0.00629,53893.0,8.069806,0.025468,4.048967,0.05075907974,205520896
vgg16_tile_matmul_1_111616,1,1,25088,1,25088,4096,1,1,4096,1,1,16,16,1,1,128,1,128,128,1,1,128,6272.0,786910208.0,0.00849,68426.0,7.869102,0.026117,3.076207,0.06680867598,205520896
vgg16_tile_matmul_1_111632,1,1,25088,1,25088,4096,1,1,4096,1,1,16,32,1,1,128,1,128,128,1,1,128,6272.0,978783232.0,0.00595,52147.0,9.787832,0.020998,3.529076,0.0582376004,205520896
vgg16_tile_matmul_1_111664,1,1,25088,1,25088,4096,1,1,4096,1,1,16,64,1,1,128,1,128,128,1,1,128,6272.0,869600256.0,0.00469,40666.0,8.696003,0.023634,5.039232,0.04078425407,205520896
vgg16_tile_matmul_1_1116128,1,1,25088,1,25088,4096,1,1,4096,1,1,16,128,1,1,128,1,128,128,1,1,128,6272.0,969049088.0,0.00807,70028.0,9.690491,0.021209,2.628129,0.07820226237,205520896
vgg16_tile_matmul_1_11324,1,1,25088,1,25088,4096,1,1,4096,1,1,32,4,1,1,128,1,128,128,1,1,128,6272.0,842254336.0,0.00547,45722.0,8.422543,0.024401,4.460878,0.04607131021,205520896
vgg16_tile_matmul_1_11328,1,1,25088,1,25088,4096,1,1,4096,1,1,32,8,1,1,128,1,128,128,1,1,128,6272.0,802916352.0,0.00655,53665.0,8.029164,0.025597,3.907939,0.0525910242,205520896
vgg16_tile_matmul_1_113216,1,1,25088,1,25088,4096,1,1,4096,1,1,32,16,1,1,128,1,128,128,1,1,128,6272.0,783247360.0,0.00833,68101.0,7.832474,0.02624,3.15006,0.06524450842,205520896
vgg16_tile_matmul_1_113232,1,1,25088,1,25088,4096,1,1,4096,1,1,32,32,1,1,128,1,128,128,1,1,128,6272.0,978733056.0,0.00585,52193.0,9.787331,0.020999,3.589573,0.05725588635,205520896
vgg16_tile_matmul_1_113264,1,1,25088,1,25088,4096,1,1,4096,1,1,32,64,1,1,128,1,128,128,1,1,128,6272.0,972260352.0,0.00817,69805.0,9.722604,0.021138,2.587271,0.07943367468,205520896
vgg16_tile_matmul_1_1132128,1,1,25088,1,25088,4096,1,1,4096,1,1,32,128,1,1,128,1,128,128,1,1,128,6272.0,969049088.0,0.00563,49740.0,9.690491,0.021209,3.76714,0.05455746433,205520896
vgg16_tile_matmul_1_11644,1,1,25088,1,25088,4096,1,1,4096,1,1,64,4,1,1,128,1,128,128,1,1,128,6272.0,839795712.0,0.00676,55927.0,8.397957,0.024473,3.620266,0.05677018932,205520896
vgg16_tile_matmul_1_11648,1,1,25088,1,25088,4096,1,1,4096,1,1,64,8,1,1,128,1,128,128,1,1,128,6272.0,800859136.0,0.00865,70895.0,8.008591,0.025663,2.966821,0.06927431215,205520896
vgg16_tile_matmul_1_116416,1,1,25088,1,25088,4096,1,1,4096,1,1,64,16,1,1,128,1,128,128,1,1,128,6272.0,781390848.0,0.0128,100317.0,7.813908,0.026302,2.054844,0.1000180224,205520896
vgg16_tile_matmul_1_116432,1,1,25088,1,25088,4096,1,1,4096,1,1,64,32,1,1,128,1,128,128,1,1,128,6272.0,978682880.0,0.00799,70113.0,9.786829,0.021,2.628285,0.07819676371,205520896
