configuration,strides,dilations,input_batch,input_width,input_height,input_channel,kernel_width,kernel_height,kernel_input_channels,kernel_output_channels,output_batch,output_width,output_height,output_channel,unroll_full,unroll_factor,actual_input_batch,actual_input_width,actual_input_height,actual_input_channel,actual_kernel_width,actual_kernel_height,actual_kernel_input_channels,actual_kernel_output_channels,actual_output_batch,actual_output_width,actual_output_height,actual_output_channel,number_of_tiles,simulation_cycles,total_power,area,runtime_in_s,gflops,gflops_per_watt,energy_consumed,flop_count
resnet18_unroll_conv2d_13_unroll_3_factor_0,2,1,1,28,28,128,1,1,128,256,1,14,14,256,3,0,1,28,28,32,1,1,32,1,1,14,14,1,1024.0,19933184.0,0.00895,68296.0,0.199332,0.064441,7.200112,0.0017840214,12845056
resnet18_unroll_conv2d_14_unroll_0_factor_0,1,1,1,16,16,256,3,3,256,256,1,14,14,256,0,0,1,16,16,32,3,3,32,1,1,14,14,1,2048.0,580067328.0,0.00487,44054.0,5.800673,0.039859,8.1846,0.02824927751,231211008
resnet18_unroll_conv2d_14_unroll_1_factor_4,1,1,1,16,16,256,3,3,256,256,1,14,14,256,1,4,1,16,16,32,3,3,32,1,1,14,14,1,2048.0,466468864.0,0.00432,38053.0,4.664689,0.049566,11.473611,0.02015145648,231211008
resnet18_unroll_conv2d_14_unroll_1_factor_8,1,1,1,16,16,256,3,3,256,256,1,14,14,256,1,8,1,16,16,32,3,3,32,1,1,14,14,1,2048.0,473722880.0,0.00355,28366.0,4.737229,0.048807,13.748451,0.01681716295,231211008
resnet18_unroll_conv2d_14_unroll_1_factor_16,1,1,1,16,16,256,3,3,256,256,1,14,14,256,1,16,1,16,16,32,3,3,32,1,1,14,14,1,2048.0,473722880.0,0.00501,39297.0,4.737229,0.048807,9.741916,0.02373351729,231211008
resnet18_unroll_conv2d_14_unroll_1_factor_0,1,1,1,16,16,256,3,3,256,256,1,14,14,256,1,0,1,16,16,32,3,3,32,1,1,14,14,1,2048.0,466497536.0,0.00749,64666.0,4.664975,0.049563,6.617223,0.03494066275,231211008
resnet18_unroll_conv2d_14_unroll_2_factor_0,1,1,1,16,16,256,3,3,256,256,1,14,14,256,2,0,1,16,16,32,3,3,32,1,1,14,14,1,2048.0,464089088.0,0.0201,152295.0,4.640891,0.04982,2.478607,0.0932819091,231211008
resnet18_unroll_conv2d_14_unroll_3_factor_0,1,1,1,16,16,256,3,3,256,256,1,14,14,256,3,0,1,16,16,32,3,3,32,1,1,14,14,1,2048.0,353681408.0,0.0645,502348.0,3.536814,0.065373,1.013535,0.228124503,231211008
resnet18_unroll_conv2d_15_unroll_0_factor_0,1,1,1,16,16,256,3,3,256,256,1,14,14,256,0,0,1,16,16,32,3,3,32,1,1,14,14,1,2048.0,580067328.0,0.00519,43840.0,5.800673,0.039859,7.679961,0.03010549287,231211008
resnet18_unroll_conv2d_15_unroll_1_factor_4,1,1,1,16,16,256,3,3,256,256,1,14,14,256,1,4,1,16,16,32,3,3,32,1,1,14,14,1,2048.0,466468864.0,0.00431,38009.0,4.664689,0.049566,11.500232,0.02010480959,231211008
resnet18_unroll_conv2d_15_unroll_1_factor_8,1,1,1,16,16,256,3,3,256,256,1,14,14,256,1,8,1,16,16,32,3,3,32,1,1,14,14,1,2048.0,473722880.0,0.00354,28370.0,4.737229,0.048807,13.787288,0.01676979066,231211008
resnet18_unroll_conv2d_15_unroll_1_factor_16,1,1,1,16,16,256,3,3,256,256,1,14,14,256,1,16,1,16,16,32,3,3,32,1,1,14,14,1,2048.0,473722880.0,0.00502,39392.0,4.737229,0.048807,9.72251,0.02378088958,231211008
resnet18_unroll_conv2d_15_unroll_1_factor_0,1,1,1,16,16,256,3,3,256,256,1,14,14,256,1,0,1,16,16,32,3,3,32,1,1,14,14,1,2048.0,466497536.0,0.00747,64500.0,4.664975,0.049563,6.63494,0.03484736325,231211008
resnet18_unroll_conv2d_15_unroll_2_factor_0,1,1,1,16,16,256,3,3,256,256,1,14,14,256,2,0,1,16,16,32,3,3,32,1,1,14,14,1,2048.0,464089088.0,0.0201,152751.0,4.640891,0.04982,2.478607,0.0932819091,231211008
resnet18_unroll_conv2d_15_unroll_3_factor_0,1,1,1,16,16,256,3,3,256,256,1,14,14,256,3,0,1,16,16,32,3,3,32,1,1,14,14,1,2048.0,353681408.0,0.0625,503861.0,3.536814,0.065373,1.045968,0.221050875,231211008
resnet18_unroll_conv2d_16_unroll_0_factor_0,2,1,1,15,15,256,3,3,256,512,1,7,7,512,0,0,1,15,15,32,3,3,32,1,1,7,7,1,4096.0,290254848.0,0.00516,44060.0,2.902548,0.039829,7.718798,0.01497714768,115605504
resnet18_unroll_conv2d_16_unroll_1_factor_4,2,1,1,15,15,256,3,3,256,512,1,7,7,512,1,4,1,15,15,32,3,3,32,1,1,7,7,1,4096.0,233254912.0,0.00427,37883.0,2.332549,0.049562,11.607026,0.00995998423,115605504
resnet18_unroll_conv2d_16_unroll_1_factor_8,2,1,1,15,15,256,3,3,256,512,1,7,7,512,1,8,1,15,15,32,3,3,32,1,1,7,7,1,4096.0,236896256.0,0.00358,28254.0,2.368963,0.0488,13.631285,0.00848088754,115605504
resnet18_unroll_conv2d_16_unroll_1_factor_16,2,1,1,15,15,256,3,3,256,512,1,7,7,512,1,16,1,15,15,32,3,3,32,1,1,7,7,1,4096.0,236896256.0,0.0049,38296.0,2.368963,0.0488,9.959184,0.0116079187,115605504
resnet18_unroll_conv2d_16_unroll_1_factor_0,2,1,1,15,15,256,3,3,256,512,1,7,7,512,1,0,1,15,15,32,3,3,32,1,1,7,7,1,4096.0,233283584.0,0.00738,63720.0,2.332836,0.049556,6.714905,0.01721632968,115605504
resnet18_unroll_conv2d_16_unroll_2_factor_0,2,1,1,15,15,256,3,3,256,512,1,7,7,512,2,0,1,15,15,32,3,3,32,1,1,7,7,1,4096.0,232079360.0,0.0195,151129.0,2.320794,0.049813,2.554513,0.045255483,115605504
resnet18_unroll_conv2d_16_unroll_3_factor_0,2,1,1,15,15,256,3,3,256,512,1,7,7,512,3,0,1,15,15,32,3,3,32,1,1,7,7,1,4096.0,179884032.0,0.0631,509816.0,1.79884,0.064267,1.018494,0.113506804,115605504
resnet18_unroll_conv2d_17_unroll_0_factor_0,1,1,1,9,9,512,3,3,512,512,1,7,7,512,0,0,1,9,9,32,3,3,32,1,1,7,7,1,8192.0,580108288.0,0.00525,44641.0,5.801083,0.039857,7.59181,0.03045568575,231211008
resnet18_unroll_conv2d_17_unroll_1_factor_4,1,1,1,9,9,512,3,3,512,512,1,7,7,512,1,4,1,9,9,32,3,3,32,1,1,7,7,1,8192.0,466509824.0,0.00473,38283.0,4.665098,0.049562,10.478224,0.02206591354,231211008
resnet18_unroll_conv2d_17_unroll_1_factor_8,1,1,1,9,9,512,3,3,512,512,1,7,7,512,1,8,1,9,9,32,3,3,32,1,1,7,7,1,8192.0,473792512.0,0.00361,28739.0,4.737925,0.0488,13.518006,0.01710390925,231211008
resnet18_unroll_conv2d_17_unroll_1_factor_16,1,1,1,9,9,512,3,3,512,512,1,7,7,512,1,16,1,9,9,32,3,3,32,1,1,7,7,1,8192.0,473792512.0,0.00445,38711.0,4.737925,0.0488,10.966292,0.02108376625,231211008
resnet18_unroll_conv2d_17_unroll_1_factor_0,1,1,1,9,9,512,3,3,512,512,1,7,7,512,1,0,1,9,9,32,3,3,32,1,1,7,7,1,8192.0,466567168.0,0.00812,64902.0,4.665672,0.049556,6.102956,0.03788525664,231211008
resnet18_unroll_conv2d_17_unroll_2_factor_0,1,1,1,9,9,512,3,3,512,512,1,7,7,512,2,0,1,9,9,32,3,3,32,1,1,7,7,1,8192.0,464158720.0,0.0235,175873.0,4.641587,0.049813,2.119702,0.1090772945,231211008
