configuration,strides,dilations,input_batch,input_width,input_height,input_channel,kernel_width,kernel_height,kernel_input_channels,kernel_output_channels,output_batch,output_width,output_height,output_channel,tiled_output_batch,tiled_output_width,tiled_output_height,tiled_output_channel,tiled_kernel_width,tiled_kernel_height,tiled_input_channel,actual_input_batch,actual_input_width,actual_input_height,actual_input_channel,actual_kernel_width,actual_kernel_height,actual_kernel_input_channels,actual_kernel_output_channels,actual_output_batch,actual_output_width,actual_output_height,actual_output_channel,number_of_tiles,simulation_cycles,total_power,area,runtime_in_s,gflops,gflops_per_watt,energy_consumed,flop_count
vgg16_tile_conv2d_4_132321331,1,1,1,114,114,128,3,3,128,128,1,112,112,128,1,32,32,1,3,3,1,1,114,114,1,3,3,1,1,1,112,112,1,16384.0,8485732352.0,0.00782,63882.0,84.857324,0.043595,5.574808,0.66358427368,3699376128
vgg16_tile_conv2d_4_164641331,1,1,1,114,114,128,3,3,128,128,1,112,112,128,1,64,64,1,3,3,1,1,114,114,1,3,3,1,1,1,112,112,1,16384.0,8470495232.0,0.00937,75601.0,84.704952,0.043674,4.661046,0.79368540024,3699376128
vgg16_tile_conv2d_5_0000000,1,1,1,58,58,128,3,3,128,256,1,56,56,256,0,0,0,0,0,0,0,1,58,58,8,3,3,8,1,1,56,56,1,4096.0,4090769408.0,0.0129,113666.0,40.907694,0.045216,3.505116,0.5277092526,1849688064
vgg16_tile_conv2d_5_1441334,1,1,1,58,58,128,3,3,128,256,1,56,56,256,1,4,4,1,3,3,4,1,58,58,8,3,3,8,1,1,56,56,1,4096.0,4159467520.0,0.0113,100035.0,41.594675,0.044469,3.93531,0.4700198275,1849688064
vgg16_tile_conv2d_5_1441338,1,1,1,58,58,128,3,3,128,256,1,56,56,256,1,4,4,1,3,3,8,1,58,58,8,3,3,8,1,1,56,56,1,4096.0,4098453504.0,0.0134,117885.0,40.984535,0.045131,3.367985,0.549192769,1849688064
vgg16_tile_conv2d_5_1881334,1,1,1,58,58,128,3,3,128,256,1,56,56,256,1,8,8,1,3,3,4,1,58,58,8,3,3,8,1,1,56,56,1,4096.0,4149374976.0,0.0114,99867.0,41.49375,0.044578,3.910351,0.47302875,1849688064
vgg16_tile_conv2d_5_1881338,1,1,1,58,58,128,3,3,128,256,1,56,56,256,1,8,8,1,3,3,8,1,58,58,8,3,3,8,1,1,56,56,1,4096.0,4093980672.0,0.0134,116559.0,40.939807,0.045181,3.371716,0.5485934138,1849688064
vgg16_tile_conv2d_5_116161334,1,1,1,58,58,128,3,3,128,256,1,56,56,256,1,16,16,1,3,3,4,1,58,58,8,3,3,8,1,1,56,56,1,4096.0,4145008640.0,0.0115,101956.0,41.450086,0.044624,3.880348,0.476675989,1849688064
vgg16_tile_conv2d_5_116161338,1,1,1,58,58,128,3,3,128,256,1,56,56,256,1,16,16,1,3,3,8,1,58,58,8,3,3,8,1,1,56,56,1,4096.0,4091596800.0,0.0135,117762.0,40.915968,0.045207,3.348667,0.552365568,1849688064
vgg16_tile_conv2d_5_132321334,1,1,1,58,58,128,3,3,128,256,1,56,56,256,1,32,32,1,3,3,4,1,58,58,8,3,3,8,1,1,56,56,1,4096.0,4143640576.0,0.0108,96651.0,41.436406,0.044639,4.133241,0.4475131848,1849688064
vgg16_tile_conv2d_5_132321338,1,1,1,58,58,128,3,3,128,256,1,56,56,256,1,32,32,1,3,3,8,1,58,58,8,3,3,8,1,1,56,56,1,4096.0,4091277312.0,0.0131,113858.0,40.912773,0.045211,3.451221,0.5359573263,1849688064
