configuration,strides,dilation,input_batch,input_width,input_height,input_channel,kernel_width,kernel_height,kernel_input_channel,kernel_multiplier,output_batch,output_width,output_height,output_channel,output_multiplier,tiled_output_batch,tiled_output_width,tiled_output_height,tiled_input_channel,tiled_kernel_width,tiled_kernel_height,actual_input_batch,actual_input_width,actual_input_height,actual_input_channel,actual_kernel_width,actual_kernel_height,actual_kernel_input_channels,actual_output_batch,actual_output_width,actual_output_height,actual_output_channel,number_of_tiles,simulation_cycles,total_power,area,runtime_in_s,gflops,gflops_per_watt,energy_consumed,flop_count
mobilenetv3_small_tile_depthwise_conv2d_multiplier_6_188433,1,1,1,18,18,240,5,5,240,1,1,14,14,240,1,1,8,8,4,3,3,1,18,18,30,5,5,30,1,14,14,30,8.0,6576120.0,0.00932,88010.0,0.065761,0.035766,3.837554,0.00061289252,2352000
mobilenetv3_small_tile_depthwise_conv2d_multiplier_6_188833,1,1,1,18,18,240,5,5,240,1,1,14,14,240,1,1,8,8,8,3,3,1,18,18,30,5,5,30,1,14,14,30,8.0,6493304.0,0.00927,87399.0,0.064933,0.036222,3.907443,0.00060192891,2352000
mobilenetv3_small_tile_depthwise_conv2d_multiplier_6_1881633,1,1,1,18,18,240,5,5,240,1,1,14,14,240,1,1,8,8,16,3,3,1,18,18,30,5,5,30,1,14,14,30,8.0,6439352.0,0.00903,85293.0,0.064394,0.036525,4.04485,0.00058147782,2352000
mobilenetv3_small_tile_depthwise_conv2d_multiplier_6_1883033,1,1,1,18,18,240,5,5,240,1,1,14,14,240,1,1,8,8,30,3,3,1,18,18,30,5,5,30,1,14,14,30,8.0,6424888.0,0.00899,85449.0,0.064249,0.036608,4.07208,0.00057759851,2352000
mobilenetv3_small_tile_depthwise_conv2d_multiplier_6_188455,1,1,1,18,18,240,5,5,240,1,1,14,14,240,1,1,8,8,4,5,5,1,18,18,30,5,5,30,1,14,14,30,8.0,5605240.0,0.0147,123269.0,0.056052,0.041961,2.85449,0.0008239644,2352000
mobilenetv3_small_tile_depthwise_conv2d_multiplier_6_188855,1,1,1,18,18,240,5,5,240,1,1,14,14,240,1,1,8,8,8,5,5,1,18,18,30,5,5,30,1,14,14,30,8.0,5584504.0,0.015,123437.0,0.055845,0.042117,2.8078,0.000837675,2352000
mobilenetv3_small_tile_depthwise_conv2d_multiplier_6_1881655,1,1,1,18,18,240,5,5,240,1,1,14,14,240,1,1,8,8,16,5,5,1,18,18,30,5,5,30,1,14,14,30,8.0,5571000.0,0.014,121020.0,0.05571,0.042219,3.015643,0.00077994,2352000
mobilenetv3_small_tile_depthwise_conv2d_multiplier_6_1883055,1,1,1,18,18,240,5,5,240,1,1,14,14,240,1,1,8,8,30,5,5,1,18,18,30,5,5,30,1,14,14,30,8.0,5567352.0,0.014,120439.0,0.055674,0.042246,3.017571,0.000779436,2352000
mobilenetv3_small_tile_depthwise_conv2d_multiplier_6_11414433,1,1,1,18,18,240,5,5,240,1,1,14,14,240,1,1,14,14,4,3,3,1,18,18,30,5,5,30,1,14,14,30,8.0,6564744.0,0.00941,88029.0,0.065647,0.035828,3.807439,0.00061773827,2352000
mobilenetv3_small_tile_depthwise_conv2d_multiplier_6_11414833,1,1,1,18,18,240,5,5,240,1,1,14,14,240,1,1,14,14,8,3,3,1,18,18,30,5,5,30,1,14,14,30,8.0,6487592.0,0.00941,88121.0,0.064876,0.036254,3.85271,0.00061048316,2352000
