configuration,strides,dilation,input_batch,input_width,input_height,input_channel,kernel_width,kernel_height,kernel_input_channel,kernel_multiplier,output_batch,output_width,output_height,output_channel,output_multiplier,unroll_full,unroll_factor,actual_input_batch,actual_input_width,actual_input_height,actual_input_channel,actual_kernel_width,actual_kernel_height,actual_kernel_input_channels,actual_output_batch,actual_output_width,actual_output_height,actual_output_channel,number_of_tiles,simulation_cycles,total_power,area,runtime_in_s,gflops,gflops_per_watt,energy_consumed,flop_count
mobilenetv3_large_unroll_depthwise_conv2d_multiplier_7_unroll_3_factor_0,2,1,1,29,29,240,3,3,240,1,1,14,14,240,1,3,0,1,29,29,30,3,3,30,1,14,14,30,8.0,542128.0,0.0728,599745.0,0.005421,0.156193,2.145508,0.0003946488,846720
mobilenetv3_large_unroll_depthwise_conv2d_multiplier_8_unroll_0_factor_0,1,1,1,16,16,200,3,3,200,1,1,14,14,200,1,0,0,1,16,16,25,3,3,25,1,14,14,25,8.0,1530496.0,0.00397,37638.0,0.015305,0.046103,11.612846,6.076085e-05,705600
mobilenetv3_large_unroll_depthwise_conv2d_multiplier_8_unroll_1_factor_0,1,1,1,16,16,200,3,3,200,1,1,14,14,200,1,1,0,1,16,16,25,3,3,25,1,14,14,25,8.0,1530496.0,0.00372,35521.0,0.015305,0.046103,12.39328,5.69346e-05,705600
mobilenetv3_large_unroll_depthwise_conv2d_multiplier_8_unroll_2_factor_0,1,1,1,16,16,200,3,3,200,1,1,14,14,200,1,2,0,1,16,16,25,3,3,25,1,14,14,25,8.0,1530496.0,0.00388,36327.0,0.015305,0.046103,11.882216,5.93834e-05,705600
mobilenetv3_large_unroll_depthwise_conv2d_multiplier_8_unroll_3_factor_4,1,1,1,16,16,200,3,3,200,1,1,14,14,200,1,3,4,1,16,16,25,3,3,25,1,14,14,25,8.0,1514896.0,0.0144,119012.0,0.015149,0.046577,3.234514,0.0002181456,705600
mobilenetv3_large_unroll_depthwise_conv2d_multiplier_8_unroll_3_factor_8,1,1,1,16,16,200,3,3,200,1,1,14,14,200,1,3,8,1,16,16,25,3,3,25,1,14,14,25,8.0,1514896.0,0.0237,196842.0,0.015149,0.046577,1.965274,0.0003590313,705600
mobilenetv3_large_unroll_depthwise_conv2d_multiplier_8_unroll_3_factor_16,1,1,1,16,16,200,3,3,200,1,1,14,14,200,1,3,16,1,16,16,25,3,3,25,1,14,14,25,8.0,846320.0,0.0441,372978.0,0.008463,0.083375,1.89059,0.0003732183,705600
mobilenetv3_large_unroll_depthwise_conv2d_multiplier_8_unroll_3_factor_0,1,1,1,16,16,200,3,3,200,1,1,14,14,200,1,3,0,1,16,16,25,3,3,25,1,14,14,25,8.0,455440.0,0.0657,541228.0,0.004554,0.154941,2.358311,0.0002991978,705600
mobilenetv3_large_unroll_depthwise_conv2d_multiplier_9_unroll_0_factor_0,1,1,1,16,16,184,3,3,184,1,1,14,14,184,1,0,0,1,16,16,23,3,3,23,1,14,14,23,8.0,1408192.0,0.00409,37568.0,0.014082,0.046098,11.270905,5.759538e-05,649152
mobilenetv3_large_unroll_depthwise_conv2d_multiplier_9_unroll_1_factor_0,1,1,1,16,16,184,3,3,184,1,1,14,14,184,1,1,0,1,16,16,23,3,3,23,1,14,14,23,8.0,1408192.0,0.0038,35693.0,0.014082,0.046098,12.131053,5.35116e-05,649152
